load_zone,stage_id,timepoint,load_mw
CAISO,1,20200820,28250.27106
CAISO,1,20200821,27664.96652
CAISO,1,20200822,25726.29567
CAISO,1,20200823,23324.50625
CAISO,1,20200824,21830.79673
CAISO,1,20200901,21945.32136
CAISO,1,20200902,21066.05009
CAISO,1,20200903,20880.25273
CAISO,1,20200904,20804.83894
CAISO,1,20200905,20960.42366
CAISO,1,20200906,21312.42345
CAISO,1,20200907,22451.90063
CAISO,1,20200908,23938.98501
CAISO,1,20200909,24868.54862
CAISO,1,20200910,25661.367
CAISO,1,20200911,25948.14745
CAISO,1,20200912,25966.1053
CAISO,1,20200913,25795.91822
CAISO,1,20200914,25443.78292
CAISO,1,20200915,25173.43185
CAISO,1,20200916,24871.33971
CAISO,1,20200917,24852.90182
CAISO,1,20200918,25127.83381
CAISO,1,20200919,25451.3367
CAISO,1,20200920,27310.98879
CAISO,1,20200921,27380.15997
CAISO,1,20200922,26047.70757
CAISO,1,20200923,24019.37621
CAISO,1,20200924,22167.81319
CAISO,1,20201001,21863.69017
CAISO,1,20201002,21240.53675
CAISO,1,20201003,21007.80146
CAISO,1,20201004,21451.76612
CAISO,1,20201005,22939.98003
CAISO,1,20201006,24910.31816
CAISO,1,20201007,27364.05751
CAISO,1,20201008,28885.83515
CAISO,1,20201009,29876.62214
CAISO,1,20201010,30857.19227
CAISO,1,20201011,31504.17034
CAISO,1,20201012,31922.12102
CAISO,1,20201013,32578.44974
CAISO,1,20201014,32997.7292
CAISO,1,20201015,33182.47201
CAISO,1,20201016,32939.56248
CAISO,1,20201017,32368.07328
CAISO,1,20201018,31672.61449
CAISO,1,20201019,30991.03335
CAISO,1,20201020,32579.26174
CAISO,1,20201021,31924.97649
CAISO,1,20201022,29051.73538
CAISO,1,20201023,26209.13289
CAISO,1,20201024,24102.4724
CAISO,1,20201101,23203.80517
CAISO,1,20201102,22337.5089
CAISO,1,20201103,21836.25859
CAISO,1,20201104,21613.05139
CAISO,1,20201105,21810.73291
CAISO,1,20201106,21618.45376
CAISO,1,20201107,22693.01123
CAISO,1,20201108,24261.73547
CAISO,1,20201109,25611.96374
CAISO,1,20201110,26550.34078
CAISO,1,20201111,27149.08301
CAISO,1,20201112,27399.62445
CAISO,1,20201113,27696.6499
CAISO,1,20201114,27960.51857
CAISO,1,20201115,28157.28207
CAISO,1,20201116,28079.32434
CAISO,1,20201117,28068.33742
CAISO,1,20201118,27853.72959
CAISO,1,20201119,27710.10561
CAISO,1,20201120,29112.26309
CAISO,1,20201121,29587.2925
CAISO,1,20201122,27842.84668
CAISO,1,20201123,25572.69238
CAISO,1,20201124,23794.30514
CAISO,1,20201201,25502.74357
CAISO,1,20201202,24040.53961
CAISO,1,20201203,23090.31775
CAISO,1,20201204,22805.88716
CAISO,1,20201205,22982.14049
CAISO,1,20201206,22868.43136
CAISO,1,20201207,24030.74237
CAISO,1,20201208,26088.23335
CAISO,1,20201209,27869.06615
CAISO,1,20201210,29171.72238
CAISO,1,20201211,30299.02657
CAISO,1,20201212,31098.53776
CAISO,1,20201213,31510.86727
CAISO,1,20201214,32165.54526
CAISO,1,20201215,32315.37083
CAISO,1,20201216,32227.2092
CAISO,1,20201217,31846.84114
CAISO,1,20201218,31247.54633
CAISO,1,20201219,30303.93669
CAISO,1,20201220,30898.96577
CAISO,1,20201221,31527.05366
CAISO,1,20201222,29109.15052
CAISO,1,20201223,27086.95096
CAISO,1,20201224,24760.61436
CAISO,1,20201301,25266.05138
CAISO,1,20201302,24361.54169
CAISO,1,20201303,23866.4221
CAISO,1,20201304,23957.47656
CAISO,1,20201305,25212.57837
CAISO,1,20201306,26870.47513
CAISO,1,20201307,28975.4199
CAISO,1,20201308,30848.89155
CAISO,1,20201309,32262.43086
CAISO,1,20201310,34132.9983
CAISO,1,20201311,35337.37576
CAISO,1,20201312,35969.10752
CAISO,1,20201313,36987.67265
CAISO,1,20201314,37617.32073
CAISO,1,20201315,37967.67528
CAISO,1,20201316,38026.77474
CAISO,1,20201317,37722.45267
CAISO,1,20201318,36446.58304
CAISO,1,20201319,35163.85235
CAISO,1,20201320,35680.63056
CAISO,1,20201321,35383.73744
CAISO,1,20201322,32343.78064
CAISO,1,20201323,29386.26455
CAISO,1,20201324,27119.57129
CAISO,1,20201401,24645.41206
CAISO,1,20201402,23728.81269
CAISO,1,20201403,23284.8509
CAISO,1,20201404,23571.42167
CAISO,1,20201405,24980.5722
CAISO,1,20201406,26517.69113
CAISO,1,20201407,28253.43982
CAISO,1,20201408,30019.85488
CAISO,1,20201409,31543.71891
CAISO,1,20201410,32866.62376
CAISO,1,20201411,33765.04231
CAISO,1,20201412,33975.41912
CAISO,1,20201413,34681.14527
CAISO,1,20201414,35205.85761
CAISO,1,20201415,35508.73243
CAISO,1,20201416,35199.4074
CAISO,1,20201417,34761.26811
CAISO,1,20201418,33798.11761
CAISO,1,20201419,33039.34179
CAISO,1,20201420,34289.582
CAISO,1,20201421,33770.2609
CAISO,1,20201422,31120.40386
CAISO,1,20201423,28208.99787
CAISO,1,20201424,26017.25204
CAISO,1,20201501,28522.51827
CAISO,1,20201502,26910.41026
CAISO,1,20201503,25888.38103
CAISO,1,20201504,25346.88962
CAISO,1,20201505,25294.37932
CAISO,1,20201506,25166.8666
CAISO,1,20201507,26044.94646
CAISO,1,20201508,28801.72017
CAISO,1,20201509,31779.67645
CAISO,1,20201510,34909.86921
CAISO,1,20201511,37775.20071
CAISO,1,20201512,40077.28512
CAISO,1,20201513,41820.34604
CAISO,1,20201514,43102.9978
CAISO,1,20201515,43649.75185
CAISO,1,20201516,43588.09495
CAISO,1,20201517,43267.37935
CAISO,1,20201518,42188.88519
CAISO,1,20201519,41368.5763
CAISO,1,20201520,41117.95972
CAISO,1,20201521,39394.91076
CAISO,1,20201522,36164.52335
CAISO,1,20201523,33000.06569
CAISO,1,20201524,30042.44176
CAISO,1,20201601,22849.15054
CAISO,1,20201602,22075.80301
CAISO,1,20201603,21697.6398
CAISO,1,20201604,22051.03031
CAISO,1,20201605,23495.43196
CAISO,1,20201606,26183.17492
CAISO,1,20201607,27542.8788
CAISO,1,20201608,28927.22813
CAISO,1,20201609,30408.27245
CAISO,1,20201610,31792.57813
CAISO,1,20201611,32748.76016
CAISO,1,20201612,33367.20128
CAISO,1,20201613,34455.17189
CAISO,1,20201614,34968.44969
CAISO,1,20201615,34941.74462
CAISO,1,20201616,34657.64272
CAISO,1,20201617,33766.52918
CAISO,1,20201618,32748.23803
CAISO,1,20201619,34131.97128
CAISO,1,20201620,33779.31571
CAISO,1,20201621,32381.77112
CAISO,1,20201622,29183.01579
CAISO,1,20201623,26465.4889
CAISO,1,20201624,24526.21407
CAISO,1,20201701,22632.8613
CAISO,1,20201702,21677.7954
CAISO,1,20201703,21117.68732
CAISO,1,20201704,20922.24243
CAISO,1,20201705,21433.33359
CAISO,1,20201706,23239.8035
CAISO,1,20201707,26243.4142
CAISO,1,20201708,27640.5025
CAISO,1,20201709,27909.98891
CAISO,1,20201710,28257.87348
CAISO,1,20201711,28367.0863
CAISO,1,20201712,28286.716
CAISO,1,20201713,28181.60603
CAISO,1,20201714,28205.75219
CAISO,1,20201715,28222.4269
CAISO,1,20201716,27924.30478
CAISO,1,20201717,28405.93605
CAISO,1,20201718,31788.84049
CAISO,1,20201719,32103.80291
CAISO,1,20201720,31867.62716
CAISO,1,20201721,31065.30243
CAISO,1,20201722,29770.19677
CAISO,1,20201723,27318.26416
CAISO,1,20201724,24712.39688
CAISO,1,20201801,22088.02099
CAISO,1,20201802,21232.67173
CAISO,1,20201803,20829.51141
CAISO,1,20201804,20681.59775
CAISO,1,20201805,21346.79206
CAISO,1,20201806,23070.6185
CAISO,1,20201807,25825.58558
CAISO,1,20201808,27818.27162
CAISO,1,20201809,28525.42337
CAISO,1,20201810,29028.77691
CAISO,1,20201811,29215.20501
CAISO,1,20201812,29034.68401
CAISO,1,20201813,28760.16726
CAISO,1,20201814,28544.11903
CAISO,1,20201815,28224.78393
CAISO,1,20201816,27899.99372
CAISO,1,20201817,27817.19863
CAISO,1,20201818,30313.47504
CAISO,1,20201819,32134.19055
CAISO,1,20201820,31790.7029
CAISO,1,20201821,31065.87085
CAISO,1,20201822,29951.92892
CAISO,1,20201823,27228.97951
CAISO,1,20201824,24907.98808
CAISO,1,20201901,22173.21132
CAISO,1,20201902,21588.77683
CAISO,1,20201903,21345.03178
CAISO,1,20201904,21619.37142
CAISO,1,20201905,22998.8235
CAISO,1,20201906,25234.11285
CAISO,1,20201907,26707.61725
CAISO,1,20201908,27514.45008
CAISO,1,20201909,28023.54892
CAISO,1,20201910,28545.99137
CAISO,1,20201911,28772.784
CAISO,1,20201912,28633.28216
CAISO,1,20201913,28642.66202
CAISO,1,20201914,28414.95448
CAISO,1,20201915,27923.54116
CAISO,1,20201916,27258.93332
CAISO,1,20201917,26732.29306
CAISO,1,20201918,26516.28585
CAISO,1,20201919,28061.04154
CAISO,1,20201920,29008.73473
CAISO,1,20201921,28538.12818
CAISO,1,20201922,26982.70234
CAISO,1,20201923,24834.77957
CAISO,1,20201924,23054.99608
CAISO,1,20202001,22763.44252
CAISO,1,20202002,22129.26873
CAISO,1,20202003,21857.8299
CAISO,1,20202004,22209.79367
CAISO,1,20202005,23546.46616
CAISO,1,20202006,25059.06511
CAISO,1,20202007,27028.35408
CAISO,1,20202008,28223.12365
CAISO,1,20202009,28920.76335
CAISO,1,20202010,29513.3429
CAISO,1,20202011,29753.0905
CAISO,1,20202012,29726.18017
CAISO,1,20202013,29948.77458
CAISO,1,20202014,29884.42773
CAISO,1,20202015,29592.743
CAISO,1,20202016,29063.26324
CAISO,1,20202017,28618.49906
CAISO,1,20202018,28489.43898
CAISO,1,20202019,29123.9481
CAISO,1,20202020,30674.93818
CAISO,1,20202021,29960.90275
CAISO,1,20202022,27666.08125
CAISO,1,20202023,25198.88387
CAISO,1,20202024,23697.84592
CAISO,1,20202101,25142.10285
CAISO,1,20202102,24260.06695
CAISO,1,20202103,23762.18618
CAISO,1,20202104,24061.10949
CAISO,1,20202105,25279.46097
CAISO,1,20202106,26550.31785
CAISO,1,20202107,28914.35021
CAISO,1,20202108,31104.64828
CAISO,1,20202109,33233.36022
CAISO,1,20202110,35225.39174
CAISO,1,20202111,36723.8301
CAISO,1,20202112,37938.27037
CAISO,1,20202113,39444.03576
CAISO,1,20202114,40548.6189
CAISO,1,20202115,41248.38264
CAISO,1,20202116,41162.60667
CAISO,1,20202117,40310.85902
CAISO,1,20202118,38790.50705
CAISO,1,20202119,37170.79689
CAISO,1,20202120,37249.91439
CAISO,1,20202121,35515.87024
CAISO,1,20202122,31989.89822
CAISO,1,20202123,28830.11492
CAISO,1,20202124,26737.47191
CAISO,1,20202201,21799.90747
CAISO,1,20202202,21136.8689
CAISO,1,20202203,20925.45048
CAISO,1,20202204,21351.01533
CAISO,1,20202205,22479.86418
CAISO,1,20202206,24101.19255
CAISO,1,20202207,25739.36241
CAISO,1,20202208,27235.0394
CAISO,1,20202209,28398.06026
CAISO,1,20202210,29461.52178
CAISO,1,20202211,29993.72637
CAISO,1,20202212,30199.30738
CAISO,1,20202213,30683.91686
CAISO,1,20202214,30874.2599
CAISO,1,20202215,30807.77082
CAISO,1,20202216,30449.27067
CAISO,1,20202217,29958.90633
CAISO,1,20202218,29316.00613
CAISO,1,20202219,28962.3446
CAISO,1,20202220,30299.80243
CAISO,1,20202221,30145.54821
CAISO,1,20202222,27779.57249
CAISO,1,20202223,25463.35615
CAISO,1,20202224,24007.9526
CAISO,1,20202301,25192.25285
CAISO,1,20202302,24210.67023
CAISO,1,20202303,23486.33563
CAISO,1,20202304,23120.97637
CAISO,1,20202305,23140.31167
CAISO,1,20202306,23032.57088
CAISO,1,20202307,23792.4899
CAISO,1,20202308,25304.21993
CAISO,1,20202309,26909.07327
CAISO,1,20202310,28523.17882
CAISO,1,20202311,30053.65668
CAISO,1,20202312,31468.59937
CAISO,1,20202313,32920.71272
CAISO,1,20202314,34163.32481
CAISO,1,20202315,35228.00549
CAISO,1,20202316,35746.97862
CAISO,1,20202317,35843.508
CAISO,1,20202318,35236.73238
CAISO,1,20202319,34082.50611
CAISO,1,20202320,34682.63408
CAISO,1,20202321,33957.70079
CAISO,1,20202322,31390.46176
CAISO,1,20202323,28633.15786
CAISO,1,20202324,26436.10767
CAISO,1,20202401,22016.29057
CAISO,1,20202402,21339.50256
CAISO,1,20202403,20981.78342
CAISO,1,20202404,21273.08475
CAISO,1,20202405,22677.70883
CAISO,1,20202406,24919.44707
CAISO,1,20202407,26567.80236
CAISO,1,20202408,27232.2464
CAISO,1,20202409,28273.55735
CAISO,1,20202410,29404.78104
CAISO,1,20202411,30220.79406
CAISO,1,20202412,31003.08183
CAISO,1,20202413,31965.56984
CAISO,1,20202414,32592.05115
CAISO,1,20202415,32805.98461
CAISO,1,20202416,32469.93304
CAISO,1,20202417,31692.70269
CAISO,1,20202418,32777.81578
CAISO,1,20202419,32741.35785
CAISO,1,20202420,31607.54536
CAISO,1,20202421,29911.84496
CAISO,1,20202422,27404.00411
CAISO,1,20202423,24891.14847
CAISO,1,20202424,22925.23634
CAISO,1,20202501,22278.82968
CAISO,1,20202502,21545.42012
CAISO,1,20202503,20959.96886
CAISO,1,20202504,20826.77881
CAISO,1,20202505,21364.15808
CAISO,1,20202506,23093.40618
CAISO,1,20202507,24946.29689
CAISO,1,20202508,26261.21733
CAISO,1,20202509,26993.65696
CAISO,1,20202510,27632.08698
CAISO,1,20202511,27902.40743
CAISO,1,20202512,28017.91273
CAISO,1,20202513,28064.84733
CAISO,1,20202514,28140.00155
CAISO,1,20202515,28032.24968
CAISO,1,20202516,27731.16739
CAISO,1,20202517,27896.35774
CAISO,1,20202518,30472.20166
CAISO,1,20202519,30861.526
CAISO,1,20202520,30193.98452
CAISO,1,20202521,29204.37344
CAISO,1,20202522,27914.07735
CAISO,1,20202523,25878.22595
CAISO,1,20202524,24093.42564
CAISO,1,20202601,24213.10882
CAISO,1,20202602,22935.52015
CAISO,1,20202603,22286.56908
CAISO,1,20202604,21808.86209
CAISO,1,20202605,21826.05914
CAISO,1,20202606,22413.00647
CAISO,1,20202607,23167.56156
CAISO,1,20202608,23847.59426
CAISO,1,20202609,25056.83772
CAISO,1,20202610,25761.51938
CAISO,1,20202611,25813.93494
CAISO,1,20202612,25505.61503
CAISO,1,20202613,25023.92177
CAISO,1,20202614,24479.77762
CAISO,1,20202615,24108.18897
CAISO,1,20202616,24202.90981
CAISO,1,20202617,25320.77346
CAISO,1,20202618,29474.80689
CAISO,1,20202619,30120.1204
CAISO,1,20202620,29762.1781
CAISO,1,20202621,29401.38447
CAISO,1,20202622,28970.18493
CAISO,1,20202623,27406.93072
CAISO,1,20202624,25476.27136
CAISO,1,20202701,23758.8953
CAISO,1,20202702,22679.40127
CAISO,1,20202703,22053.86505
CAISO,1,20202704,21916.50727
CAISO,1,20202705,22422.34425
CAISO,1,20202706,24058.66188
CAISO,1,20202707,26614.67629
CAISO,1,20202708,28381.58176
CAISO,1,20202709,28885.50774
CAISO,1,20202710,28984.19767
CAISO,1,20202711,29051.66066
CAISO,1,20202712,28718.10146
CAISO,1,20202713,28416.28522
CAISO,1,20202714,28215.76421
CAISO,1,20202715,27937.20695
CAISO,1,20202716,27597.91849
CAISO,1,20202717,28061.27333
CAISO,1,20202718,31246.06977
CAISO,1,20202719,32143.67122
CAISO,1,20202720,31606.38141
CAISO,1,20202721,30838.17168
CAISO,1,20202722,29758.37571
CAISO,1,20202723,27135.60154
CAISO,1,20202724,25001.44054
CAISO,1,20202801,22410.96651
CAISO,1,20202802,21418.7307
CAISO,1,20202803,20787.57631
CAISO,1,20202804,20582.99826
CAISO,1,20202805,21029.43615
CAISO,1,20202806,22635.45547
CAISO,1,20202807,25232.44717
CAISO,1,20202808,27039.40392
CAISO,1,20202809,27796.94587
CAISO,1,20202810,28453.34654
CAISO,1,20202811,28948.97324
CAISO,1,20202812,29147.2177
CAISO,1,20202813,29121.25076
CAISO,1,20202814,29128.32958
CAISO,1,20202815,28962.86284
CAISO,1,20202816,28668.08143
CAISO,1,20202817,28684.32104
CAISO,1,20202818,30775.33578
CAISO,1,20202819,31496.7897
CAISO,1,20202820,30743.88174
CAISO,1,20202821,29735.20225
CAISO,1,20202822,28592.53296
CAISO,1,20202823,26008.91694
CAISO,1,20202824,23934.76611
CAISO,1,20202901,21474.95779
CAISO,1,20202902,20818.27477
CAISO,1,20202903,20536.30403
CAISO,1,20202904,20948.27211
CAISO,1,20202905,22431.08211
CAISO,1,20202906,24981.76498
CAISO,1,20202907,26413.25478
CAISO,1,20202908,27239.97368
CAISO,1,20202909,27770.74614
CAISO,1,20202910,28193.4898
CAISO,1,20202911,28433.31764
CAISO,1,20202912,28369.21219
CAISO,1,20202913,28482.00693
CAISO,1,20202914,28424.46412
CAISO,1,20202915,28115.20838
CAISO,1,20202916,27732.06983
CAISO,1,20202917,27369.06027
CAISO,1,20202918,27248.33031
CAISO,1,20202919,29068.82632
CAISO,1,20202920,29790.04414
CAISO,1,20202921,28726.3179
CAISO,1,20202922,26491.68925
CAISO,1,20202923,24199.39985
CAISO,1,20202924,22605.90814
CAISO,1,20203001,22174.61676
CAISO,1,20203002,21459.99783
CAISO,1,20203003,21102.44285
CAISO,1,20203004,21097.67307
CAISO,1,20203005,21612.41744
CAISO,1,20203006,22125.7369
CAISO,1,20203007,22400.7545
CAISO,1,20203008,23539.69508
CAISO,1,20203009,24187.65698
CAISO,1,20203010,24541.88223
CAISO,1,20203011,24583.84137
CAISO,1,20203012,24427.17531
CAISO,1,20203013,24227.53955
CAISO,1,20203014,24024.78019
CAISO,1,20203015,23819.91992
CAISO,1,20203016,23613.21656
CAISO,1,20203017,23772.17585
CAISO,1,20203018,24133.24922
CAISO,1,20203019,25880.76135
CAISO,1,20203020,27068.1012
CAISO,1,20203021,26830.36854
CAISO,1,20203022,25583.29838
