prime_mover_code,prime_mover_label,energy_source_code,energy_source_label,fuel_type_eiaaeo,gridpath_generic_fuel,aeo_prices,gridpath_capacity_type,gridpath_operational_type,heat_rate_mmbtu_per_mwh,min_load_fraction,heat_rate_source,agg_project
ST,steam_turbine,BFG,blast_furnace_gas,blast_furnace_gas,Gas,1,gen_spec,gen_commit_bin,10.295,0.7,https://www.eia.gov/electricity/annual/html/epa_08_02.html,
ST,steam_turbine,SUN,solar,,,,gen_spec,gen_simple,,,,
ST,steam_turbine,LFG,landfill_gas,,Biomass,,gen_spec,gen_simple,,,,
OT,othergen_spec,BFG,blast_furnace_gas,blast_furnace_gas,Gas,1,gen_spec,gen_simple,,,,
ST,steam_turbine,WDL,wood_liquids,,Biomass,,gen_spec,gen_simple,,,,
ST,steam_turbine,AB,agricultural_byproducts,,Biomass,,gen_spec,gen_simple,,,,
ST,steam_turbine,OBG,other_biomass_gas,,Biomass,,gen_spec,gen_simple,,,,
GT,gas_combustion_turbine,OG,other_gas,other_gas,Gas,1,gen_spec,gen_commit_bin,11.03,0.4,https://www.eia.gov/electricity/annual/html/epa_08_02.html,
ST,steam_turbine,PUR,purchased_steam,,,,gen_spec,gen_simple,,,,
ST,steam_turbine,OTH,other,,,,gen_spec,gen_simple,,,,
OT,othergen_spec,OG,other_gas,other_gas,Gas,1,gen_spec,gen_simple,,,,
CT,combined_cycle_combustion_turbine,LFG,landfill_gas,,Biomass,,gen_spec,gen_simple,,,,
CA,combined_cycle_steam_turbine,LFG,landfill_gas,,Biomass,,gen_spec,gen_simple,,,,
OT,othergen_spec,OTH,other,,,,gen_spec,gen_simple,,,,
OT,othergen_spec,PC,petroleum_coke,,Petroleum,,gen_spec,gen_simple,,,,
CA,combined_cycle_steam_turbine,OG,other_gas,other_gas,Gas,1,gen_spec,gen_commit_bin,7.596,0.5,https://www.eia.gov/electricity/annual/html/epa_08_02.html,
FC,fuel_cell,NG,natural_gas,natural_gas,Gas,1,gen_spec,gen_simple,,,,
CT,combined_cycle_combustion_turbine,RFO,residual_fuel_oil,,Residual_Fuel_Oil,1,gen_spec,gen_simple,,,,
CA,combined_cycle_steam_turbine,BFG,blast_furnace_gas,blast_furnace_gas,Gas,1,gen_spec,gen_commit_bin,7.596,0.5,https://www.eia.gov/electricity/annual/html/epa_08_02.html,
IC,internal_combustion,OBL,other_biomass_liquid,,Biomass,,gen_spec,gen_simple,,,,
GT,gas_combustion_turbine,OTH,other,,,,gen_spec,gen_simple,,,,
OT,othergen_spec,WH,waste_heat,,,,gen_spec,gen_simple,,,,
CP,concentrated_solar_storage,SUN,solar,,,,gen_spec,gen_simple,,,,
ST,steam_turbine,OBS,other_biomass_solid,,Biomass,,gen_spec,gen_simple,,,,
FW,flywheel_storage,MWH,electricity_storage,,,,stor_spec,stor,,,,
OT,othergen_spec,LFG,landfill_gas,,Biomass,,gen_spec,gen_simple,,,,
WS,wind_offshore,WND,wind,,,,gen_spec,gen_var_must_take,,,,Wind_Offshore
OT,othergen_spec,SUN,solar,,,,gen_spec,gen_simple,,,,
IC,internal_combustion,OG,other_gas,other_gas,Gas,1,gen_spec,gen_commit_bin,8.894,0.4,https://www.eia.gov/electricity/annual/html/epa_08_02.html,
FC,fuel_cell,OBG,other_biomass_gas,,Biomass,,gen_spec,gen_simple,,,,
FC,fuel_cell,LFG,landfill_gas,,Biomass,,gen_spec,gen_simple,,,,
OT,othergen_spec,WDS,wood_solids,,Biomass,,gen_spec,gen_simple,,,,
CC,combined_cycle_total,OTH,other,,,,gen_spec,gen_simple,,,,
OT,othergen_spec,AB,agricultural_byproducts,,Biomass,,gen_spec,gen_simple,,,,
FC,fuel_cell,OG,other_gas,other_gas,Gas,1,gen_spec,gen_simple,,,,
BA,battery_storage,,,,,,stor_spec,stor,,,,
