project,period,minimum_cumulative_new_build_mw,maximum_cumulative_new_build_mw,minimum_cumulative_new_build_mwh,maximum_cumulative_new_build_mwh
CAISO_Shed_DR_Tranche7,2020,0,0,,
CAISO_Shed_DR_Tranche7,2021,0,67.8062732,,
CAISO_Shed_DR_Tranche7,2022,0,135.6125464,,
CAISO_Shed_DR_Tranche7,2023,0,203.4188196,,
CAISO_Shed_DR_Tranche7,2024,0,271.2250928,,
CAISO_Shed_DR_Tranche7,2026,0,339.031366,,
CAISO_Shed_DR_Tranche7,2030,0,339.031366,,
CAISO_Shed_DR_Tranche7,2045,0,339.031366,,
CAISO_Shed_DR_Tranche8,2020,0,0,,
CAISO_Shed_DR_Tranche8,2021,0,50.074167,,
CAISO_Shed_DR_Tranche8,2022,0,100.148334,,
CAISO_Shed_DR_Tranche8,2023,0,150.222501,,
CAISO_Shed_DR_Tranche8,2024,0,200.296668,,
CAISO_Shed_DR_Tranche8,2026,0,250.370835,,
CAISO_Shed_DR_Tranche8,2030,0,250.370835,,
CAISO_Shed_DR_Tranche8,2045,0,250.370835,,
