lf_reserves_down_ba,period,timepoint,discount_factor,number_years_represented,timepoint_weight,number_of_hours_in_timepoint,violation_mw,dual,marginal_price_per_mw
Zone1,2020,20200101,1.0,10.0,4380.0,1,0.0,-0.0,-0.0
Zone1,2020,20200102,1.0,10.0,4380.0,1,0.0,-0.0,-0.0
Zone1,2030,20300101,1.0,10.0,4380.0,1,0.0,-61125335.0,-1395.555593607306
Zone1,2030,20300102,1.0,10.0,4380.0,1,0.0,-59084001.0,-1348.949794520548
Zone2,2020,20200101,1.0,10.0,4380.0,1,0.0,-46885800.0,-1070.4520547945206
Zone2,2020,20200102,1.0,10.0,4380.0,1,0.0,-4379945300000.0,-99998751.14155251
Zone2,2030,20300101,1.0,10.0,4380.0,1,0.0,-115116130.0,-2628.2221461187214
Zone2,2030,20300102,1.0,10.0,4380.0,1,0.0,-4379980500000.0,-99999554.79452054
