timepoint	period	timepoint_weight	number_of_hours_in_timepoint	previous_stage_timepoint_map	month	day_of_month	hour_of_day
150	2026	1.0	1	.	1	7	6.0
151	2026	1.0	1	.	1	7	7.0
152	2026	1.0	1	.	1	7	8.0
153	2026	1.0	1	.	1	7	9.0
154	2026	1.0	1	.	1	7	10.0
155	2026	1.0	1	.	1	7	11.0
156	2026	1.0	1	.	1	7	12.0
157	2026	1.0	1	.	1	7	13.0
158	2026	1.0	1	.	1	7	14.0
159	2026	1.0	1	.	1	7	15.0
160	2026	1.0	1	.	1	7	16.0
161	2026	1.0	1	.	1	7	17.0
162	2026	1.0	1	.	1	7	18.0
163	2026	1.0	1	.	1	7	19.0
164	2026	1.0	1	.	1	7	20.0
165	2026	1.0	1	.	1	7	21.0
166	2026	1.0	1	.	1	7	22.0
167	2026	1.0	1	.	1	7	23.0
168	2026	1.0	1	.	1	7	24.0
